generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,nafdac_schedule_date,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,requires_special_prescription,requires_physician_only,pharmacist_can_prescribe,maximum_days_supply,requires_photo_id,therapeutic_class,pharmacological_class,mechanism_of_action,is_controlled,is_high_risk,requires_monitoring,monitoring_type,monitoring_frequency_days,addiction_risk,abuse_potential,minimum_age,maximum_age,pregnancy_category,breastfeeding_safe,major_contraindications,allergy_cross_reactions,black_box_warning,black_box_warning_text,major_drug_interactions,food_interactions,search_keywords,generic_variations,common_misspellings,safer_alternatives,cheaper_alternatives,notes,is_active
Diclofenac,"Voltaren,Diclofenac","Diclofenac Sodium 50mg",true,A4-6001,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Analgesic/Anti-inflammatory,NSAID,Inhibits COX enzymes (reduces prostaglandin synthesis),false,false,true,"GI bleeding signs, Renal function, Cardiovascular risk",30,false,none,,,C,false,"Active peptic ulcer,Severe heart failure,Coronary artery bypass surgery (perioperative period),Third trimester pregnancy,Aspirin triad (asthma nasal polyps aspirin sensitivity)","NSAIDs,Aspirin",true,"Increased risk of serious cardiovascular thrombotic events MI and stroke. Increased risk of serious GI bleeding ulceration and perforation. Contraindicated for perioperative pain in CABG surgery.","Warfarin (increased bleeding),Aspirin (increased GI bleeding),ACE inhibitors (reduced antihypertensive effect),Diuretics (reduced effect),Lithium (increased levels),Methotrexate (increased toxicity)","Take with food to reduce GI upset",diclofenac|voltaren|nsaid|arthritis|pain,Diclofenac Sodium|Diclofenac Potassium,Diclofenac|Voltaren,Paracetamol (safer),Ibuprofen,Potent NSAID. High cardiovascular and GI risk. Available oral and topical. Topical safer for localized pain.,true
Naproxen,"Aleve,Naprosyn","Naproxen 250mg",true,A4-6002,unscheduled,,not_scheduled,not_controlled,false,false,true,true,14,false,Analgesic/Anti-inflammatory,NSAID,Inhibits COX enzymes,false,false,true,"GI symptoms, Renal function",30,false,none,,,C,false,"Active peptic ulcer,Severe heart failure,CABG perioperative period,Third trimester pregnancy,Aspirin sensitivity","NSAIDs,Aspirin",true,"Increased CV thrombotic events and GI bleeding risk.","Warfarin (bleeding),Aspirin (GI bleeding),ACE inhibitors (reduced effect),SSRIs (GI bleeding),Methotrexate (toxicity)","Take with food",naproxen|aleve|naprosyn|nsaid|arthritis,Naproxen Sodium|Naproxen base,Naproxen|Aleve,Paracetamol,Ibuprofen,Long-acting NSAID. Twice-daily dosing. Lower CV risk than some other NSAIDs.,true
Indomethacin,"Indocin","Indomethacin 25mg",true,A4-6003,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Analgesic/Anti-inflammatory,NSAID,Potent COX inhibitor,false,true,true,"GI symptoms, CNS effects (headache confusion), Renal function",14,false,none,,,C,false,"Active peptic ulcer,Severe heart failure,CABG perioperative,Premature infants with PDA (different indication),Rectal bleeding","NSAIDs,Aspirin",true,"High risk of serious CV and GI adverse events. CNS side effects common (headache dizziness confusion).","Warfarin (bleeding),Aspirin (GI bleeding),Lithium (increased lithium toxicity),Triamterene (acute renal failure risk),Methotrexate (toxicity)","Take with food or milk",indomethacin|indocin|nsaid|gout|arthritis,Indomethacin base,Indomethacin|Indocin,Colchicine (for gout),Naproxen,Very potent NSAID. High side effect profile. Reserved for specific conditions like acute gout. CNS effects common.,true
Piroxicam,"Feldene","Piroxicam 20mg",true,A4-6004,unscheduled,,not_scheduled,not_controlled,false,false,true,true,14,false,Analgesic/Anti-inflammatory,NSAID,Inhibits COX enzymes,false,true,true,"GI bleeding, Renal function",30,false,none,,,C,false,"Active peptic ulcer,Severe heart failure,CABG perioperative,Third trimester pregnancy","NSAIDs,Aspirin",true,"Higher GI bleeding risk than other NSAIDs. Increased CV thrombotic risk.","Warfarin (severe bleeding risk),Aspirin (GI bleeding),ACE inhibitors (reduced effect),Lithium (increased levels)","Take with food",piroxicam|feldene|nsaid|arthritis,Piroxicam base,Piroxicam|Feldene,Naproxen (safer),Ibuprofen,Long-acting NSAID. Once-daily. Higher GI bleeding risk than other NSAIDs. Use limited now.,true
Celecoxib,"Celebrex","Celecoxib 200mg",true,A4-6005,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Analgesic/Anti-inflammatory,COX-2 Selective NSAID,Selectively inhibits COX-2 (spares COX-1),false,false,true,"Cardiovascular events, GI symptoms, Renal function",90,false,none,,,C,false,"Sulfonamide allergy,Active peptic ulcer,Severe heart failure,CABG perioperative,Third trimester pregnancy","Sulfonamides,NSAIDs",true,"Increased CV thrombotic risk especially with prolonged use. May increase risk of serious CV events MI and stroke.","Warfarin (bleeding),ACE inhibitors (reduced effect),Fluconazole (increased celecoxib levels),Lithium (increased levels)","Take with or without food",celecoxib|celebrex|cox2 inhibitor|selective nsaid|arthritis,Celecoxib base,Celecoxib|Celebrex,Naproxen (non-selective),Ibuprofen,COX-2 selective NSAID. Lower GI bleeding risk than non-selective NSAIDs. CV risk still present. Sulfa allergy contraindication.,true
Mefenamic Acid,"Ponstan","Mefenamic Acid 500mg",true,A4-6006,unscheduled,,not_scheduled,not_controlled,false,false,true,true,7,false,Analgesic/Anti-inflammatory,NSAID,Inhibits COX enzymes,false,false,true,GI symptoms,14,false,none,,,C,false,"Active peptic ulcer,Inflammatory bowel disease,Severe renal impairment,Third trimester pregnancy","NSAIDs,Aspirin",false,,"Warfarin (bleeding),Aspirin (GI bleeding),Magnesium-based antacids (increased mefenamic acid absorption)","Take with food, maximum 7 days use",mefenamic acid|ponstan|nsaid|menstrual pain|dysmenorrhea,Mefenamic Acid base,Ponstan|Mefenamic Acid,Paracetamol,Ibuprofen,NSAID popular for menstrual pain (dysmenorrhea). Short-term use only (7 days max). GI side effects common.,true
Ketorolac,"Toradol","Ketorolac Tromethamine 10mg",true,A4-6007,unscheduled,,not_scheduled,not_controlled,false,false,true,true,5,false,Analgesic,NSAID,Potent COX inhibitor,false,true,true,"GI bleeding, Renal function, Bleeding risk",5,false,none,,,C,false,"Active peptic ulcer,Advanced renal impairment,High bleeding risk,CABG perioperative,Labor and delivery,Concurrent aspirin or other NSAIDs","NSAIDs,Aspirin",true,"High risk of serious GI bleeding perforation and ulceration. Increased bleeding risk. Renal impairment and failure. Maximum 5 days use (oral and injectable combined).","Warfarin (severe bleeding),Aspirin (contraindicated),ACE inhibitors (renal impairment),Pentoxifylline (bleeding),Probenecid (increased ketorolac levels - contraindicated)","Take with food, maximum 5 days total therapy",ketorolac|toradol|nsaid|severe pain|postoperative pain,Ketorolac Tromethamine,Ketorolac|Toradol,Tramadol,Ibuprofen,Potent NSAID for short-term severe pain. Maximum 5 days use (oral+IV combined). High bleeding and GI risk. Black box warnings.,true
Meloxicam,"Mobic","Meloxicam 15mg",true,A4-6008,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Analgesic/Anti-inflammatory,Preferential COX-2 NSAID,Preferentially inhibits COX-2,false,false,true,"GI symptoms, Renal function",30,false,none,,,C,false,"Active peptic ulcer,Severe heart failure,CABG perioperative,Third trimester pregnancy","NSAIDs,Aspirin",true,"Increased CV and GI risks.","Warfarin (bleeding),Aspirin (GI bleeding),ACE inhibitors (reduced effect),Cholestyramine (reduced meloxicam absorption)","Take with or without food",meloxicam|mobic|nsaid|arthritis|osteoarthritis,Meloxicam base,Meloxicam|Mobic,Naproxen,Ibuprofen,Preferential COX-2 inhibitor. Once-daily dosing. Lower GI risk than non-selective NSAIDs. Still has CV and GI risks.,true
Etoricoxib,"Arcoxia","Etoricoxib 60mg",true,A4-6009,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Analgesic/Anti-inflammatory,COX-2 Selective NSAID,Selectively inhibits COX-2,false,false,true,"Blood pressure, Cardiovascular events, GI symptoms",30,false,none,,,C,false,"Active peptic ulcer,Inflammatory bowel disease,Uncontrolled hypertension,Established ischemic heart disease,Peripheral arterial disease,Cerebrovascular disease,Heart failure","NSAIDs",true,"Increased CV thrombotic risk. Not approved in US due to CV concerns.","Warfarin (bleeding),ACE inhibitors (reduced effect),Rifampicin (reduced etoricoxib levels),Oral contraceptives (increased hormone levels)","Take with or without food",etoricoxib|arcoxia|cox2 inhibitor|arthritis,Etoricoxib base,Etoricoxib|Arcoxia,Celecoxib,Naproxen,COX-2 selective. Once-daily. Not approved in US (CV concerns). Popular elsewhere. Dose-dependent CV risk. Monitor BP.,true
Paracetamol/Codeine,"Co-codamol,Tylenol #3","Paracetamol 500mg + Codeine 8mg",true,A4-6010,schedule_2,2010-01-01,schedule_2,class_b,false,true,true,false,7,true,Analgesic,Opioid Combination,Paracetamol (COX inhibition) + Codeine (opioid receptor agonist),true,true,true,"Pain level, Respiratory function, Constipation, Addiction signs",14,true,high,18,,D,false,"Respiratory depression,Acute asthma,Paralytic ileus,Children under 12 (codeine metabolism issues)","Codeine,Other opioids",true,"Risk of respiratory depression addiction and abuse. Codeine metabolism to morphine varies (ultra-rapid metabolizers at risk). Constipation common.","CNS depressants (respiratory depression),MAOIs (severe reactions),Warfarin (paracetamol increases INR)","Take with food, monitor for constipation",paracetamol codeine|co-codamol|tylenol 3|pain relief|opioid combination,Paracetamol/Codeine Phosphate,Co-codamol|Tylenol 3,Tramadol,Paracetamol alone,Opioid combination. Addiction and respiratory depression risk. Codeine variable metabolism. Avoid in children <12.,true
