generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,nafdac_schedule_date,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,requires_special_prescription,requires_physician_only,pharmacist_can_prescribe,maximum_days_supply,requires_photo_id,therapeutic_class,pharmacological_class,mechanism_of_action,is_controlled,is_high_risk,requires_monitoring,monitoring_type,monitoring_frequency_days,addiction_risk,abuse_potential,minimum_age,maximum_age,pregnancy_category,breastfeeding_safe,major_contraindications,allergy_cross_reactions,black_box_warning,black_box_warning_text,major_drug_interactions,food_interactions,search_keywords,generic_variations,common_misspellings,safer_alternatives,cheaper_alternatives,notes,is_active
Amoxicillin-Clavulanate,"Augmentin,Co-amoxiclav,Clavulin","Amoxicillin 500mg + Clavulanic Acid 125mg",true,A4-3001,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Beta-lactam + Beta-lactamase Inhibitor,Inhibits bacterial cell wall synthesis + protects from beta-lactamase,false,false,false,,,false,none,,,B,true,"Penicillin allergy,History of jaundice/hepatic dysfunction with amoxicillin-clavulanate","Penicillins,Cephalosporins (cross-reactivity 10%))",false,,"Warfarin (increased INR),Allopurinol (increased rash risk),Oral contraceptives (reduced effectiveness)","Take with food to reduce GI upset",augmentin|co-amoxiclav|amoxicillin clavulanate|broad spectrum antibiotic,Amoxicillin/Clavulanate|Co-amoxiclav,Augmentin|Amoxycillin,Amoxicillin alone (if susceptible),Amoxicillin (cheaper but narrower spectrum),Broader spectrum than amoxicillin alone. First-line for many infections in Nigeria.,true
Ampicillin,"Pentrexyl,Omnipen","Ampicillin 500mg",true,A4-3002,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,Beta-lactam Penicillin,Inhibits bacterial cell wall synthesis,false,false,false,,,false,none,,,B,true,"Penicillin allergy,Infectious mononucleosis (causes rash)","Penicillins,Cephalosporins (10% cross-reactivity)",false,,"Allopurinol (increased rash),Oral contraceptives (reduced effectiveness),Warfarin (increased bleeding risk)","Take on empty stomach (1 hour before or 2 hours after meals)",ampicillin|pentrexyl|penicillin|bacterial infection,Ampicillin Trihydrate|Ampicillin Sodium,Ampicilin|Ampicillin,Amoxicillin (better absorption),Amoxicillin (preferred oral),Injectable form common in Nigerian hospitals. Less bioavailable than amoxicillin orally.,true
Benzylpenicillin,"Penicillin G,Crystapen","Benzylpenicillin Sodium 1MU",true,A4-3003,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,Beta-lactam Penicillin,Inhibits bacterial cell wall synthesis,false,false,false,,,false,none,,,B,true,"Penicillin allergy","Penicillins,Cephalosporins",false,,"Probenecid (increased penicillin levels),Methotrexate (increased toxicity)",Not applicable (IV/IM only),penicillin g|benzylpenicillin|crystapen|injectable penicillin,Penicillin G|Benzylpenicillin Sodium,Benzylpenicillin|Penicillin G,Procaine Penicillin (longer acting IM),Procaine Penicillin,IV/IM only. Drug of choice for streptococcal infections. Essential in Nigerian hospitals.,true
Flucloxacillin,"Floxapen,Staphcillin","Flucloxacillin 500mg",true,A4-3004,unscheduled,,not_scheduled,not_controlled,false,false,true,true,14,false,Antibiotic,Beta-lactamase Resistant Penicillin,Inhibits cell wall synthesis (resistant to staphylococcal beta-lactamase),false,false,false,Liver function (if prolonged use),30,false,none,,,B,true,"Penicillin allergy,History of flucloxacillin-associated jaundice","Penicillins,Cephalosporins",false,,"Warfarin (increased bleeding risk),Methotrexate (increased toxicity)","Take on empty stomach (1 hour before or 2 hours after food)",flucloxacillin|floxapen|staphylococcal infection|skin infection,Flucloxacillin Sodium,Flucloxacillin|Floxapen,Dicloxacillin (not available in Nigeria),Cephalexin (broader spectrum),First-line for staphylococcal skin infections. Common in Nigeria for boils/abscesses.,true
Phenoxymethylpenicillin,"Penicillin V,Phenoxypenicillin","Phenoxymethylpenicillin 250mg",true,A4-3005,unscheduled,,not_scheduled,not_controlled,true,false,true,true,10,false,Antibiotic,Beta-lactam Penicillin,Inhibits bacterial cell wall synthesis,false,false,false,,,false,none,,,B,true,"Penicillin allergy","Penicillins,Cephalosporins",false,,"Warfarin (increased INR),Methotrexate (increased toxicity)","Take on empty stomach for best absorption",penicillin v|phenoxymethylpenicillin|oral penicillin|strep throat,Penicillin V|Phenoxymethylpenicillin Potassium,Penicillin V|Phenoxypenicillin,Amoxicillin (broader spectrum),Amoxicillin,Oral penicillin for streptococcal infections. Cheaper than amoxicillin.,true
Ceftriaxone,"Rocephin,Cefaxone","Ceftriaxone 1g",true,A4-3011,unscheduled,,not_scheduled,not_controlled,true,false,true,false,14,false,Antibiotic,3rd Generation Cephalosporin,Inhibits bacterial cell wall synthesis,false,false,false,,,false,none,,,B,true,"Cephalosporin allergy,Hyperbilirubinemic neonates,Concurrent IV calcium","Cephalosporins,Penicillins (10% cross-reactivity)",false,,"Calcium-containing IV solutions (precipitation risk),Warfarin (increased bleeding)","Not applicable (IV/IM only)",ceftriaxone|rocephin|third generation cephalosporin|broad spectrum,Ceftriaxone Sodium,Ceftriaxone|Rocephin,Cefotaxime (similar spectrum),Cefotaxime,Long half-life allows once-daily dosing. Widely used in Nigerian hospitals for severe infections.,true
Cefixime,"Suprax,Cefimax","Cefixime 400mg",true,A4-3012,unscheduled,,not_scheduled,not_controlled,false,false,true,true,7,false,Antibiotic,3rd Generation Cephalosporin,Inhibits bacterial cell wall synthesis,false,false,false,,,false,none,,,B,true,"Cephalosporin allergy","Cephalosporins,Penicillins (10% cross-reactivity)",false,,"Warfarin (increased bleeding risk),Carbamazepine (increased carbamazepine levels)","Take with or without food",cefixime|suprax|oral cephalosporin|urinary tract infection,Cefixime Trihydrate,Cefixime|Suprax,Cefpodoxime (similar spectrum),Amoxicillin-clavulanate (cheaper),Oral 3rd generation cephalosporin. Good for UTIs and gonorrhea.,true
Cefuroxime,"Zinacef,Ceftin","Cefuroxime 250mg",true,A4-3013,unscheduled,,not_scheduled,not_controlled,true,false,true,true,10,false,Antibiotic,2nd Generation Cephalosporin,Inhibits bacterial cell wall synthesis,false,false,false,,,false,none,,,B,true,"Cephalosporin allergy","Cephalosporins,Penicillins (10% cross-reactivity)",false,,"Warfarin (increased bleeding),Probenecid (increased cefuroxime levels)","Take oral form with food for better absorption",cefuroxime|zinacef|ceftin|respiratory infection,Cefuroxime Axetil (oral)|Cefuroxime Sodium (IV),Cefuroxime|Zinacef,Amoxicillin-clavulanate,Amoxicillin-clavulanate (cheaper),Good for respiratory and skin infections. Available oral and IV.,true
Cefalexin,"Keflex,Ceporex","Cefalexin 500mg",true,A4-3014,unscheduled,,not_scheduled,not_controlled,true,false,true,true,14,false,Antibiotic,1st Generation Cephalosporin,Inhibits bacterial cell wall synthesis,false,false,false,,,false,none,,,B,true,"Cephalosporin allergy","Cephalosporins,Penicillins (10% cross-reactivity)",false,,"Warfarin (increased bleeding),Metformin (increased metformin levels)","Take with or without food",cefalexin|cephalexin|keflex|skin infection|urinary tract infection,Cephalexin|Cefalexin,Cefalexin|Keflex|Cephalexin,Amoxicillin (if susceptible),Amoxicillin,Widely used for skin and soft tissue infections in Nigeria.,true
Cefpodoxime,"Vantin,Orelox","Cefpodoxime Proxetil 200mg",true,A4-3015,unscheduled,,not_scheduled,not_controlled,false,false,true,true,10,false,Antibiotic,3rd Generation Cephalosporin,Inhibits bacterial cell wall synthesis,false,false,false,,,false,none,,,B,true,"Cephalosporin allergy","Cephalosporins,Penicillins (10% cross-reactivity)",false,,"Antacids (reduced absorption),H2 blockers (reduced absorption)","Take with food for better absorption",cefpodoxime|vantin|oral cephalosporin|respiratory infection,Cefpodoxime Proxetil,Cefpodoxime|Vantin,Cefixime,Amoxicillin-clavulanate,Good oral alternative to injectable cephalosporins.,true
