generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Acyclovir,"Zovirax,Acivir","Acyclovir 400mg",true,A4-9001,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Antiviral,Nucleoside Analog,Inhibits viral DNA polymerase,true,false,true,Renal function,7,false,none,no,B,false,"Hypersensitivity","Probenecid,Mycophenolate,Zidovudine",,Nausea|Headache|Diarrhea,Nephrotoxicity|Neurotoxicity|Thrombotic thrombocytopenic purpura,Low cost generic,Valacyclovir|Famciclovir,acyclovir zovirax antiviral herpes hsv vzv
Valacyclovir,"Valtrex,Valcivir","Valacyclovir 500mg",true,A4-9002,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Antiviral,Nucleoside Analog,Prodrug of acyclovir - inhibits viral DNA polymerase,true,false,true,Renal function,7,false,none,no,B,false,"Hypersensitivity","Probenecid,Cimetidine",,Headache|Nausea,Thrombotic thrombocytopenic purpura|Acute renal failure|Neuropsychiatric symptoms,Moderate cost,Acyclovir|Famciclovir,valacyclovir valtrex antiviral herpes shingles
Famciclovir,"Famvir,Famciclo","Famciclovir 250mg",true,A4-9003,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Antiviral,Nucleoside Analog,Prodrug of penciclovir - inhibits viral DNA synthesis,true,false,true,Renal function,7,false,none,no,B,false,"Hypersensitivity","Probenecid",,Headache|Nausea|Diarrhea,Acute renal failure|Confusion (especially elderly),Moderate to high cost,Acyclovir|Valacyclovir,famciclovir famvir antiviral herpes zoster
Oseltamivir,"Tamiflu,Fluvir","Oseltamivir 75mg",true,A4-9004,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Antiviral,Neuraminidase Inhibitor,Inhibits influenza neuraminidase enzyme,false,false,false,,5,false,none,no,C,false,"Hypersensitivity","Live attenuated influenza vaccine",,Nausea|Vomiting|Headache,Neuropsychiatric events|Serious skin reactions|Hepatitis,High cost,Zanamivir|Supportive care,oseltamivir tamiflu influenza flu neuraminidase
Ribavirin,"Rebetol,Copegus","Ribavirin 200mg",true,A4-9005,unscheduled,,not_scheduled,not_controlled,true,false,true,true,4,false,Antiviral,Nucleoside Analog,Inhibits viral RNA synthesis,true,true,true,CBC LFTs,90,true,none,yes,X,true,"Hypersensitivity,Pregnancy,Severe anemia,Autoimmune hepatitis,Severe cardiac disease,Hemoglobinopathies","Didanosine,Stavudine,Zidovudine",true,"Significant teratogenic/embryocidal effects. Extreme care must be taken to avoid pregnancy during therapy and for 6 months after. Hemolytic anemia. Risk of pancreatitis and lactic acidosis with nucleoside reverse transcriptase inhibitors.",Anemia|Fatigue|Nausea|Headache|Insomnia|Depression,Severe anemia|Pancreatitis|Lactic acidosis|Hepatic decompensation|Teratogenicity|Suicide,High cost,Sofosbuvir (for Hepatitis C),ribavirin teratogenic anemia hepatitis c pregnancy contraindication
Lamivudine,"Epivir,3TC","Lamivudine 150mg",true,A4-9006,unscheduled,,not_scheduled,not_controlled,true,false,false,true,3,false,Antiviral,NRTI,Nucleoside reverse transcriptase inhibitor,true,false,true,LFTs HBV DNA,ongoing,true,none,no,C,false,"Hypersensitivity","Emtricitabine (similar structure),Sorbitol,Trimethoprim/Sulfamethoxazole",,Headache|Nausea|Fatigue|Diarrhea,Lactic acidosis|Hepatomegaly with steatosis|Hepatitis B exacerbation upon discontinuation,Moderate cost,Emtricitabine|Tenofovir,lamivudine epivir 3tc nrti hiv antiretroviral hepatitis b
Zidovudine,"Retrovir,AZT","Zidovudine 300mg",true,A4-9007,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Antiviral,NRTI,Nucleoside reverse transcriptase inhibitor,true,false,true,CBC CD4 count,ongoing,true,none,no,C,false,"Hypersensitivity,Severe anemia or neutropenia","Stavudine,Ribavirin,Doxorubicin",true,"Hematologic toxicity including neutropenia and severe anemia. Symptomatic myopathy and myositis. Lactic acidosis and severe hepatomegaly with steatosis.",Nausea|Headache|Fatigue|Anemia|Neutropenia,Bone marrow suppression|Lactic acidosis|Hepatomegaly|Myopathy|Lipoatrophy,Low cost generic,Other NRTIs (Tenofovir|Emtricitabine),zidovudine retrovir azt nrti hiv antiretroviral bone marrow
Tenofovir Disoproxil,"Viread,TDF","Tenofovir 300mg",true,A4-9008,unscheduled,,not_scheduled,not_controlled,true,false,false,true,3,false,Antiviral,NRTI,Nucleotide reverse transcriptase inhibitor,true,false,true,Renal function bone density,ongoing,true,none,no,B,false,"Hypersensitivity,Concurrent nephrotoxic agents in renal impairment","Didanosine,Atazanavir,Lopinavir/Ritonavir",,Nausea|Diarrhea|Fatigue|Headache,Renal impairment|Fanconi syndrome|Lactic acidosis|Hepatomegaly|Bone loss|Osteomalacia,Moderate cost,Tenofovir alafenamide|Lamivudine,tenofovir viread tdf nrti hiv antiretroviral renal bone
Efavirenz,"Sustiva,Stocrin","Efavirenz 600mg",true,A4-9009,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Antiviral,NNRTI,Non-nucleoside reverse transcriptase inhibitor,false,true,true,LFTs,ongoing,true,low,yes,D,true,"Hypersensitivity,Severe hepatic impairment,Concurrent use of elbasvir/grazoprevir","CYP3A4 substrates,Voriconazole,Clarithromycin,Methadone",true,"Serious psychiatric symptoms including severe depression suicidal ideation aggressive behavior paranoid reactions and manic reactions. CNS symptoms. Teratogenic in primates - avoid in first trimester or women of childbearing potential without contraception.",Dizziness|Insomnia|Abnormal dreams|Rash|Nausea,Severe depression|Suicidal ideation|Stevens-Johnson syndrome|Hepatotoxicity|QT prolongation,Low cost generic,Nevirapine|Rilpivirine,efavirenz sustiva nnrti hiv psychiatric cns teratogenic
Nevirapine,"Viramune,Nevimune","Nevirapine 200mg",true,A4-9010,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Antiviral,NNRTI,Non-nucleoside reverse transcriptase inhibitor,true,false,true,LFTs CD4 count,ongoing,true,none,no,B,false,"Hypersensitivity,Moderate to severe hepatic impairment,Post-exposure prophylaxis,High CD4 counts (women >250 men >400)","Ketoconazole,St John's Wort,Rifampin",true,"Severe life-threatening skin reactions including Stevens-Johnson syndrome and toxic epidermal necrolysis. Severe life-threatening hepatotoxicity. Most common in first 18 weeks. Higher risk in women with high CD4 counts.",Rash|Nausea|Headache|Fatigue,Stevens-Johnson syndrome|Toxic epidermal necrolysis|Hepatotoxicity|Hypersensitivity reactions,Low cost generic,Efavirenz|Rilpivirine,nevirapine viramune nnrti hiv hepatotoxic rash stevens-johnson
