generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,nafdac_schedule_date,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,requires_special_prescription,requires_physician_only,pharmacist_can_prescribe,maximum_days_supply,requires_photo_id,therapeutic_class,pharmacological_class,mechanism_of_action,is_controlled,is_high_risk,requires_monitoring,monitoring_type,monitoring_frequency_days,addiction_risk,abuse_potential,minimum_age,maximum_age,pregnancy_category,breastfeeding_safe,major_contraindications,allergy_cross_reactions,black_box_warning,black_box_warning_text,major_drug_interactions,food_interactions,search_keywords,generic_variations,common_misspellings,safer_alternatives,cheaper_alternatives,notes,is_active
Enalapril,"Vasotec,Renitec","Enalapril Maleate 5mg",true,A4-4001,unscheduled,,not_scheduled,not_controlled,true,false,true,true,30,false,Antihypertensive,ACE Inhibitor,Inhibits angiotensin-converting enzyme,false,false,true,"Blood pressure, Renal function, Potassium",30,false,none,,,D,false,"Angioedema history with ACE inhibitors,Pregnancy,Bilateral renal artery stenosis","Other ACE inhibitors",false,,"Potassium supplements/potassium-sparing diuretics (hyperkalemia),NSAIDs (reduced antihypertensive effect),Lithium (increased lithium levels)","Take with or without food",enalapril|vasotec|ace inhibitor|hypertension|heart failure,Enalapril Maleate,Enalapril|Vasotec,Losartan (ARB - if ACE inhibitor cough),Lisinopril,Common first-line antihypertensive in Nigeria. Risk of dry cough and angioedema.,true
Lisinopril,"Zestril,Prinivil","Lisinopril 10mg",true,A4-4002,unscheduled,,not_scheduled,not_controlled,true,false,true,true,30,false,Antihypertensive,ACE Inhibitor,Inhibits angiotensin-converting enzyme,false,false,true,"BP, Renal function, Potassium",30,false,none,,,D,false,"Angioedema with ACE inhibitors,Pregnancy,Bilateral renal artery stenosis","Other ACE inhibitors",false,,"Potassium supplements (hyperkalemia),NSAIDs (reduced effect),Lithium (increased levels)","Take with or without food",lisinopril|zestril|prinivil|ace inhibitor|hypertension,Lisinopril Dihydrate,Lisinopril|Zestril,Losartan (ARB),Enalapril,Long-acting ACE inhibitor. Once-daily dosing. Popular in Nigeria.,true
Ramipril,"Altace,Tritace","Ramipril 5mg",true,A4-4003,unscheduled,,not_scheduled,not_controlled,true,false,true,true,30,false,Antihypertensive,ACE Inhibitor,Inhibits angiotensin-converting enzyme,false,false,true,"BP, Renal function, Potassium",30,false,none,,,D,false,"Angioedema with ACE inhibitors,Pregnancy,Bilateral renal artery stenosis","Other ACE inhibitors",false,,"Potassium supplements (hyperkalemia),NSAIDs (reduced effect),Lithium (increased levels)","Take with or without food",ramipril|altace|tritace|ace inhibitor|hypertension|heart failure,Ramipril base,Ramipril|Altace,Losartan (ARB),Enalapril,Once-daily ACE inhibitor. Good for cardiovascular protection.,true
Perindopril,"Coversyl,Aceon","Perindopril Erbumine 4mg",true,A4-4004,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Antihypertensive,ACE Inhibitor,Inhibits angiotensin-converting enzyme,false,false,true,"BP, Renal function, Potassium",30,false,none,,,D,false,"Angioedema with ACE inhibitors,Pregnancy,Bilateral renal artery stenosis","Other ACE inhibitors",false,,"Potassium supplements (hyperkalemia),NSAIDs (reduced effect)","Take before breakfast",perindopril|coversyl|aceon|ace inhibitor|hypertension,Perindopril Erbumine|Perindopril Arginine,Perindopril|Coversyl,Losartan (ARB),Enalapril,Long-acting ACE inhibitor with good cardiovascular outcomes data.,true
Losartan,"Cozaar","Losartan Potassium 50mg",true,A4-4011,unscheduled,,not_scheduled,not_controlled,true,false,true,true,30,false,Antihypertensive,Angiotensin Receptor Blocker (ARB),Blocks angiotensin II AT1 receptors,false,false,true,"BP, Renal function, Potassium",30,false,none,,,D,false,"Pregnancy,Bilateral renal artery stenosis","Other ARBs",false,,"Potassium supplements (hyperkalemia),NSAIDs (reduced effect),Lithium (increased levels)","Take with or without food",losartan|cozaar|arb|hypertension|angiotensin receptor blocker,Losartan Potassium,Losartan|Cozaar,Enalapril (ACE inhibitor),Enalapril,Alternative to ACE inhibitors without cough. Common in Nigeria.,true
Telmisartan,"Micardis,Telma","Telmisartan 40mg",true,A4-4012,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Antihypertensive,Angiotensin Receptor Blocker (ARB),Blocks angiotensin II AT1 receptors,false,false,true,"BP, Renal function, Potassium",30,false,none,,,D,false,"Pregnancy,Bilateral renal artery stenosis,Biliary obstruction","Other ARBs",false,,"Potassium supplements (hyperkalemia),NSAIDs (reduced effect),Digoxin (increased digoxin levels)","Take with or without food",telmisartan|micardis|telma|arb|hypertension,Telmisartan base,Telmisartan|Micardis,Losartan,Losartan,Long-acting ARB with metabolic benefits. Once-daily dosing.,true
Valsartan,"Diovan","Valsartan 80mg",true,A4-4013,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Antihypertensive,Angiotensin Receptor Blocker (ARB),Blocks angiotensin II AT1 receptors,false,false,true,"BP, Renal function, Potassium",30,false,none,,,D,false,"Pregnancy,Bilateral renal artery stenosis","Other ARBs",false,,"Potassium supplements (hyperkalemia),NSAIDs (reduced effect)","Take with or without food",valsartan|diovan|arb|hypertension|heart failure,Valsartan base,Valsartan|Diovan,Losartan,Losartan,ARB with good evidence for heart failure and post-MI.,true
Irbesartan,"Avapro,Aprovel","Irbesartan 150mg",true,A4-4014,unscheduled,,not_scheduled,not_controlled,false,false,true,true,30,false,Antihypertensive,Angiotensin Receptor Blocker (ARB),Blocks angiotensin II AT1 receptors,false,false,true,"BP, Renal function, Potassium",30,false,none,,,D,false,"Pregnancy,Bilateral renal artery stenosis","Other ARBs",false,,"Potassium supplements (hyperkalemia),NSAIDs (reduced effect)","Take with or without food",irbesartan|avapro|aprovel|arb|hypertension,Irbesartan base,Irbesartan|Avapro,Losartan,Losartan,ARB with good renoprotective effects in diabetes.,true
Atenolol,"Tenormin","Atenolol 50mg",true,A4-4021,unscheduled,,not_scheduled,not_controlled,true,false,true,true,30,false,Antihypertensive,Cardioselective Beta-blocker,Blocks beta-1 adrenergic receptors,false,false,true,"BP, Heart rate",30,false,none,,,D,false,"Severe bradycardia,Heart block (2nd/3rd degree),Uncontrolled heart failure,Asthma","Other beta-blockers",false,,"Verapamil/diltiazem (severe bradycardia/heart block),Insulin (masks hypoglycemia),NSAIDs (reduced effect)","Take with or without food, avoid abrupt discontinuation",atenolol|tenormin|beta blocker|hypertension|angina,Atenolol base,Atenolol|Tenormin,Metoprolol (if asthma concern),Propranolol (non-selective),Cardioselective beta-blocker. Common and cheap in Nigeria. Renal dosing required.,true
Metoprolol,"Lopressor,Betaloc","Metoprolol Tartrate 50mg",true,A4-4022,unscheduled,,not_scheduled,not_controlled,true,false,true,true,30,false,Antihypertensive,Cardioselective Beta-blocker,Blocks beta-1 adrenergic receptors,false,false,true,"BP, Heart rate",30,false,none,,,C,false,"Severe bradycardia,Heart block,Uncontrolled heart failure,Asthma","Other beta-blockers",false,,"Verapamil/diltiazem (bradycardia),CYP2D6 inhibitors (increased levels),Insulin (masks hypoglycemia)","Take with or at end of meals",metoprolol|lopressor|betaloc|beta blocker|hypertension,Metoprolol Tartrate|Metoprolol Succinate,Metoprolol|Lopressor,Bisoprolol (once daily),Atenolol,Cardioselective beta-blocker. Good for hypertension and heart failure.,true
