generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Isotretinoin,"Accutane,Roaccutane,Oratane","Isotretinoin 20mg",true,A4-9051,unscheduled,,not_scheduled,not_controlled,false,false,true,true,4,false,Dermatological,Retinoid,Reduces sebum production and normalizes keratinization,true,true,true,LFTs lipids pregnancy test,180,false,none,yes,X,true,"Pregnancy,Breastfeeding,Hypervitaminosis A,Severe liver or kidney disease,Hyperlipidemia,Concurrent tetracyclines","Tetracyclines,Vitamin A,St John's Wort,Phenytoin",true,"Extremely teratogenic - causes severe birth defects. iPLEDGE program mandatory. Depression and suicidal ideation. Pseudotumor cerebri. Hepatotoxicity. Severe skin reactions.",Dry skin|Cheilitis|Dry eyes|Nosebleeds|Photosensitivity,Teratogenicity|Depression|Suicidal ideation|Pseudotumor cerebri|Hepatotoxicity|Pancreatitis|Inflammatory bowel disease,High cost,Topical retinoids|Antibiotics|Hormonal therapy,isotretinoin accutane roaccutane teratogenic ipledge pregnancy severe acne
Tretinoin,"Retin-A,Retino-A","Tretinoin 0.025% cream",true,A4-9052,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Dermatological,Retinoid,Normalizes follicular keratinization,false,false,false,,90,true,none,yes,C,false,"Hypersensitivity,Eczema,Sunburn","Photosensitizing agents,Benzoyl peroxide,Salicylic acid",,Erythema|Peeling|Dryness|Photosensitivity|Irritation,Severe skin irritation|Photosensitivity reactions,Low cost,Adapalene|Tazarotene,tretinoin retin-a topical retinoid acne photoaging
Adapalene,"Differin,Adaferin","Adapalene 0.1% gel",true,A4-9053,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Dermatological,Retinoid,Modulates keratinocyte differentiation,false,false,false,,90,true,none,no,C,false,"Hypersensitivity,Eczema,Cuts or abrasions","Topical retinoids,Photosensitizing agents",,Erythema|Dryness|Scaling|Burning,Severe irritation|Photosensitivity,Moderate cost,Tretinoin|Benzoyl peroxide,adapalene differin topical retinoid acne comedolytic
Benzoyl Peroxide,"Benzac,PanOxyl","Benzoyl Peroxide 5% gel",true,A4-9054,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Keratolytic,Antibacterial via free radical oxidation,false,false,false,,60,true,none,no,C,false,"Hypersensitivity",Tretinoin (may reduce efficacy),,Dryness|Peeling|Erythema|Burning,Severe allergic reactions|Contact dermatitis|Bleaching of hair and fabrics,Low cost,Salicylic acid|Topical antibiotics,benzoyl peroxide benzac antibacterial acne keratolytic
Hydroquinone,"Eldoquin,Melalite","Hydroquinone 4% cream",true,A4-9055,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Dermatological,Depigmenting Agent,Inhibits tyrosinase - reduces melanin production,false,false,false,,90,false,none,no,C,false,"Hypersensitivity","Peroxides,Resorcinol",,Erythema|Burning|Irritation|Dryness,Ochronosis (paradoxical darkening with prolonged use)|Contact dermatitis,Moderate cost,Kojic acid|Azelaic acid|Tretinoin,hydroquinone depigmenting melasma hyperpigmentation bleaching
Minoxidil,"Rogaine,Regaine","Minoxidil 5% solution",true,A4-9056,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Hair Growth Stimulant,Vasodilator - prolongs anagen phase,false,false,false,,ongoing,true,none,no,C,false,"Hypersensitivity,Pheochromocytoma,Scalp conditions or lesions","Topical corticosteroids (may increase absorption)",,Scalp irritation|Itching|Hypertrichosis (unwanted hair growth)|Initial shedding,Hypotension (if absorbed systemically)|Tachycardia|Fluid retention,Moderate cost,Finasteride (oral)|Hair transplant,minoxidil rogaine hair loss alopecia androgenetic topical
Finasteride,"Propecia,Proscar","Finasteride 1mg",true,A4-9057,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Dermatological,5-alpha Reductase Inhibitor,Inhibits conversion of testosterone to DHT,true,false,true,PSA,ongoing,true,none,yes,X,false,"Pregnancy,Women of childbearing age,Children,Hypersensitivity","None significant (but pregnant women should not handle crushed tablets)",,Decreased libido|Erectile dysfunction|Ejaculation disorder|Breast tenderness,Persistent sexual dysfunction|Breast cancer (high-grade)|Depression|Suicidal ideation,Moderate cost,Minoxidil|Dutasteride,finasteride propecia 5-alpha reductase dht hair loss bph sexual dysfunction
Permethrin,"Elimite,Lyclear","Permethrin 5% cream",true,A4-9058,unscheduled,,not_scheduled,not_controlled,true,false,false,false,1,false,Dermatological,Scabicide/Pediculicide,Disrupts sodium channels in parasite nervous system,false,false,false,,1,false,none,no,B,false,"Hypersensitivity,Infants under 2 months","Pyrethroids",,Local irritation|Burning|Tingling|Pruritus,Rarely - severe allergic reactions,Low cost,Ivermectin (oral)|Benzyl benzoate,permethrin scabies lice pediculicide topical parasite
Ivermectin,"Stromectol,Mectizan","Ivermectin 12mg",true,A4-9059,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Antiparasitic,Anthelmintic,Binds glutamate-gated chloride channels - paralyzes parasites,false,false,false,,1,false,none,no,C,false,"Hypersensitivity,Loa loa infection (risk of encephalopathy)","Warfarin",,Dizziness|Nausea|Diarrhea|Pruritus,Hepatotoxicity|Stevens-Johnson syndrome|Encephalopathy (with Loa loa co-infection),Low cost,Permethrin (topical)|Albendazole,ivermectin stromectol antiparasitic onchocerciasis strongyloides scabies
Clobetasol,"Dermovate,Temovate","Clobetasol 0.05% cream",true,A4-9060,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Dermatological,Topical Corticosteroid (Class I),Very high potency corticosteroid,false,false,false,,14,false,none,no,C,false,"Hypersensitivity,Rosacea,Acne,Perioral dermatitis,Untreated bacterial/fungal/viral skin infections",None significant,,Burning|Itching|Dryness|Folliculitis,Skin atrophy|Striae|Telangiectasia|HPA axis suppression|Cushing syndrome,Low cost,Betamethasone|Mometasone,clobetasol dermovate super potent topical steroid class 1
Mometasone,"Elocon,Elomet","Mometasone 0.1% cream",true,A4-9061,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Dermatological,Topical Corticosteroid (Class II),Potent corticosteroid,false,false,false,,14,false,none,no,C,false,"Hypersensitivity,Rosacea,Untreated infections",None significant,,Burning|Itching|Dryness,Skin atrophy|HPA suppression with prolonged use,Moderate cost,Triamcinolone|Betamethasone,mometasone elocon topical corticosteroid
Calcipotriol,"Dovonex,Daivonex","Calcipotriol 0.005% ointment",true,A4-9062,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Dermatological,Vitamin D Analog,Regulates keratinocyte proliferation and differentiation,true,false,true,Serum calcium,90,true,none,no,C,false,"Hypercalcemia,Severe renal impairment,Severe hepatic impairment","Thiazide diuretics,Cardiac glycosides",,Skin irritation|Pruritus|Erythema|Burning,Hypercalcemia|Hypercalciuria (with extensive use),Moderate to high cost,Topical corticosteroids|Tazarotene,calcipotriol dovonex vitamin d psoriasis
Tacrolimus,"Protopic,Tacropic","Tacrolimus 0.1% ointment",true,A4-9063,unscheduled,,not_scheduled,not_controlled,false,false,true,false,2,false,Dermatological,Topical Calcineurin Inhibitor,Inhibits T-lymphocyte activation,false,false,false,,90,true,none,no,C,false,"Hypersensitivity,Netherton syndrome,Immunocompromised patients","CYP3A4 inhibitors (minimal with topical use)",true,"Long-term safety not established. Rare cases of malignancy (skin cancer and lymphoma). Not recommended in children under 2 years. Avoid sunlight exposure.",Burning|Pruritus|Erythema|Skin infections,Lymphoma|Skin cancer (rare)|Herpes infections,High cost,Pimecrolimus|Topical corticosteroids,tacrolimus protopic calcineurin inhibitor eczema atopic dermatitis malignancy
Pimecrolimus,"Elidel","Pimecrolimus 1% cream",true,A4-9064,unscheduled,,not_scheduled,not_controlled,false,false,true,false,2,false,Dermatological,Topical Calcineurin Inhibitor,Inhibits T-cell activation,false,false,false,,90,true,none,no,C,false,"Hypersensitivity,Netherton syndrome,Immunocompromised patients,Active cutaneous viral infections","CYP3A4 inhibitors (minimal with topical)",true,"Long-term safety not established. Rare cases of malignancy. Not for use in children under 2 years. Avoid sun exposure and UV light.",Burning|Pruritus|Erythema,Lymphoma|Skin cancer (rare)|Viral infections,High cost,Tacrolimus|Topical corticosteroids,pimecrolimus elidel calcineurin inhibitor eczema atopic dermatitis
Timolol,"Timoptic,Betimol","Timolol 0.5% eye drops",true,A4-9065,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Ophthalmological,Beta-blocker,Reduces aqueous humor production,true,false,true,IOP heart rate,ongoing,true,none,no,C,false,"Asthma,COPD,Sinus bradycardia,Heart block,Overt cardiac failure","Calcium channel blockers,Other beta-blockers,Verapamil,Diltiazem",,Ocular irritation|Blurred vision,Bronchospasm|Bradycardia|Heart failure|Cardiac arrest,Low cost,Latanoprost|Dorzolamide,timolol timoptic glaucoma beta-blocker eye drops iop
