generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,nafdac_schedule_date,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,requires_special_prescription,requires_physician_only,pharmacist_can_prescribe,maximum_days_supply,requires_photo_id,therapeutic_class,pharmacological_class,mechanism_of_action,is_controlled,is_high_risk,requires_monitoring,monitoring_type,monitoring_frequency_days,addiction_risk,abuse_potential,minimum_age,maximum_age,pregnancy_category,breastfeeding_safe,major_contraindications,allergy_cross_reactions,black_box_warning,black_box_warning_text,major_drug_interactions,food_interactions,search_keywords,generic_variations,common_misspellings,safer_alternatives,cheaper_alternatives,notes,is_active
Insulin Glargine,"Lantus,Basaglar,Toujeo","Insulin Glargine 100 units/ml",true,A4-5001,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Long-Acting Basal Insulin,Lowers blood glucose by facilitating cellular uptake,false,true,true,"Blood glucose, HbA1c, Hypoglycemia signs",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (increased hypoglycemia risk),Beta-blockers (mask hypoglycemia),ACE inhibitors (increased insulin sensitivity),Corticosteroids (decreased insulin sensitivity)","Inject at same time daily, can be taken with or without food",insulin glargine|lantus|basaglar|basal insulin|long acting insulin|diabetes,Insulin Glargine 100u/ml|Insulin Glargine 300u/ml,Lantus|Insulin Glargine,Insulin Detemir (alternative basal),Insulin NPH (cheaper),24-hour basal insulin. Once-daily dosing. No pronounced peak. Essential for type 1 diabetes.,true
Insulin Detemir,"Levemir","Insulin Detemir 100 units/ml",true,A4-5002,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Long-Acting Basal Insulin,Lowers blood glucose by facilitating cellular uptake,false,true,true,"Blood glucose, HbA1c, Hypoglycemia",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia),ACE inhibitors (increased sensitivity)","Inject at same time daily",insulin detemir|levemir|basal insulin|long acting insulin,Insulin Detemir 100u/ml,Levemir|Detemir,Insulin Glargine,Insulin NPH,18-24 hour basal insulin. May require twice-daily dosing. Less weight gain than other insulins.,true
Insulin Degludec,"Tresiba","Insulin Degludec 100 units/ml",true,A4-5003,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Ultra-Long-Acting Basal Insulin,Lowers blood glucose by facilitating cellular uptake,false,true,true,"Blood glucose, HbA1c, Hypoglycemia",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia)","Inject at same time daily, flexible timing possible",insulin degludec|tresiba|ultra long acting insulin|basal insulin,Insulin Degludec 100u/ml|Insulin Degludec 200u/ml,Tresiba|Degludec,Insulin Glargine,Insulin Glargine,Ultra-long-acting (>42 hours). Most flexible basal insulin. Lower hypoglycemia risk. Expensive.,true
Insulin Aspart,"NovoRapid,Fiasp","Insulin Aspart 100 units/ml",true,A4-5004,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Rapid-Acting Insulin,Lowers blood glucose by facilitating cellular uptake,false,true,true,"Blood glucose, Hypoglycemia",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia),Alcohol (prolonged hypoglycemia)","Inject 0-15 minutes before meals",insulin aspart|novorapid|fiasp|rapid acting insulin|mealtime insulin,Insulin Aspart 100u/ml,NovoRapid|Aspart,Insulin Lispro (similar),Regular Insulin (slower),Rapid-acting analog. Inject just before meals. Peak 1-3 hours. Duration 3-5 hours.,true
Insulin Lispro,"Humalog,Admelog","Insulin Lispro 100 units/ml",true,A4-5005,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Rapid-Acting Insulin,Lowers blood glucose by facilitating cellular uptake,false,true,true,"Blood glucose, Hypoglycemia",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia),Alcohol (hypoglycemia)","Inject 0-15 minutes before meals",insulin lispro|humalog|admelog|rapid acting insulin|mealtime insulin,Insulin Lispro 100u/ml|Insulin Lispro 200u/ml,Humalog|Lispro,Insulin Aspart (similar),Regular Insulin,Rapid-acting analog. Very similar to insulin aspart. Onset 15 minutes.,true
Insulin Glulisine,"Apidra","Insulin Glulisine 100 units/ml",true,A4-5006,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Rapid-Acting Insulin,Lowers blood glucose by facilitating cellular uptake,false,true,true,"Blood glucose, Hypoglycemia",30,false,none,,,C,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia)","Inject 0-15 minutes before meals",insulin glulisine|apidra|rapid acting insulin|mealtime insulin,Insulin Glulisine 100u/ml,Apidra|Glulisine,Insulin Aspart or Lispro,Regular Insulin,Rapid-acting analog. Fastest onset of all rapid analogs. Can inject after meals in some cases.,true
Regular Insulin,"Actrapid,Humulin R","Regular Insulin 100 units/ml",true,A4-5007,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Short-Acting Insulin,Lowers blood glucose by facilitating cellular uptake,false,true,true,"Blood glucose, Hypoglycemia",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia)","Inject 30 minutes before meals",regular insulin|actrapid|humulin r|short acting insulin,Regular Human Insulin,Actrapid|Regular Insulin,Rapid-acting analogs (more convenient),Rapid analogs (though more expensive),Short-acting human insulin. Inject 30 min before meals. Peak 2-4 hours. Cheaper than analogs.,true
NPH Insulin,"Insulatard,Humulin N","NPH Insulin 100 units/ml",true,A4-5008,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Intermediate-Acting Insulin,Lowers blood glucose by facilitating cellular uptake,false,true,true,"Blood glucose, Hypoglycemia",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia)","Inject once or twice daily, roll gently before use (cloudy)",nph insulin|insulatard|humulin n|intermediate acting insulin|isophane insulin,NPH Human Insulin|Isophane Insulin,NPH|Insulatard,Insulin Glargine (more predictable),Insulin Glargine (though more expensive),Intermediate-acting. Duration 12-18 hours. Requires mixing (roll bottle). Peak effect 4-8 hours. Cheaper than analogs.,true
Premixed Insulin 30/70,"Mixtard 30,Humulin 30/70","30% Regular + 70% NPH Insulin 100 units/ml",true,A4-5009,unscheduled,,not_scheduled,not_controlled,true,false,true,true,90,false,Antidiabetic,Premixed Insulin,Combination of short and intermediate-acting insulin,false,true,true,"Blood glucose, Hypoglycemia",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia)","Inject twice daily before meals, roll gently (cloudy)",premixed insulin|mixtard|humulin 30/70|biphasic insulin,Biphasic Insulin,Mixtard|Premixed Insulin,Basal-bolus regimen (more flexible),Separate basal and bolus,Fixed ratio premix. Less flexible than basal-bolus but simpler. Common in Nigeria for cost and simplicity.,true
Premixed Insulin Analog 70/30,"NovoMix 30,Humalog Mix","30% Aspart + 70% Protamine Aspart 100 units/ml",true,A4-5010,unscheduled,,not_scheduled,not_controlled,false,false,true,true,90,false,Antidiabetic,Premixed Insulin Analog,Combination of rapid and intermediate-acting analog,false,true,true,"Blood glucose, Hypoglycemia",30,false,none,,,B,true,"Hypoglycemia","Other insulins",false,,"Oral hypoglycemics (hypoglycemia),Beta-blockers (mask hypoglycemia)","Inject 0-15 minutes before meals, twice daily",premixed insulin analog|novomix 30|humalog mix|biphasic insulin,Biphasic Insulin Aspart|Biphasic Insulin Lispro,NovoMix|Premixed Analog,Basal-bolus regimen,Human premix (cheaper),Analog premix. Faster onset than human premix. More expensive. Can inject closer to meals.,true
