generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Pimavanserin Fixed,"Nuplazid","Pimavanserin 34mg",true,A4-9343,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Atypical Antipsychotic,Selective 5-HT2A inverse agonist,true,false,true,ECG QTc,ongoing,true,none,no,C,false,"Hypersensitivity","CYP3A4 inhibitors,QT-prolonging drugs",true,"Increased mortality in elderly with dementia-related psychosis not related to Parkinson disease hallucinations. QT prolongation.",Peripheral edema|Nausea|Confusional state,QT prolongation|Hallucinations|Death in dementia patients,Very high cost,Quetiapine (low-dose),pimavanserin nuplazid parkinson hallucinations psychosis
Anidulafungin Fixed,"Eraxis","Anidulafungin 100mg",true,A4-9366,unscheduled,,not_scheduled,not_controlled,false,false,false,true,4,false,Antifungal,Echinocandin,Inhibits fungal beta-glucan synthase,true,false,true,LFTs,14,false,none,no,B,false,"Hypersensitivity","None significant",,Diarrhea|Nausea|Hypokalemia|Elevated LFTs,Hepatotoxicity|Histamine reactions|Anaphylaxis,Very high cost,Caspofungin|Micafungin,anidulafungin eraxis echinocandin candida
Micafungin Fixed,"Mycamine","Micafungin 50mg",true,A4-9368,unscheduled,,not_scheduled,not_controlled,false,false,false,true,4,false,Antifungal,Echinocandin,Inhibits beta-glucan synthesis,true,false,true,LFTs renal function,14,false,none,no,C,false,"Hypersensitivity","Sirolimus,Nifedipine",,Phlebitis|Nausea|Vomiting|Headache,Hepatotoxicity|Hemolytic anemia|Renal impairment|Anaphylaxis,Very high cost,Caspofungin|Anidulafungin,micafungin mycamine echinocandin
Benzyl Benzoate,"Benzyl Benzoate Lotion","Benzyl Benzoate 25%",true,A4-9401,unscheduled,,not_scheduled,not_controlled,true,false,false,false,1,false,Dermatological,Scabicide,Toxic to mites,false,false,false,,1,false,none,no,C,false,"Hypersensitivity,Broken skin","None",,Local irritation|Burning|Rash,Rarely - severe irritation,Low cost,Permethrin|Ivermectin oral,benzyl benzoate scabies pediculicide topical
Lindane,"Kwell,Scabene","Lindane 1% lotion",true,A4-9402,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Dermatological,Scabicide,Neurotoxic to parasites,false,false,false,,1,false,none,no,C,false,"Premature infants,Uncontrolled seizure disorders,Crusted scabies","None",true,"Seizures and deaths reported. Contraindicated in premature infants. Use only after safer agents have failed or are not tolerated. Second-line treatment.",Irritation|Eczematous eruptions,Seizures|Aplastic anemia|Neurotoxicity,Low cost,Permethrin|Ivermectin,lindane scabies neurotoxic seizures black box
Salicylic Acid,"Compound W,DuoFilm","Salicylic Acid 17% topical",true,A4-9403,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Keratolytic,Causes desquamation of cornified epithelium,false,false,false,,30,false,none,no,C,false,"Hypersensitivity,Warts with hair or on face/genitals,Diabetes,Poor circulation","Methotrexate (systemic absorption)",,Local irritation|Stinging,Salicylate toxicity (excessive use on large areas),Low cost,Cryotherapy|Podophyllin,salicylic acid keratolytic wart corn callus topical
Urea,"Carmol,Aquadrate","Urea 40% cream",true,A4-9404,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Keratolytic/Emollient,Hydrates and softens skin,false,false,false,,ongoing,true,none,no,B,false,"Hypersensitivity,Inflamed or broken skin","None",,Transient stinging|Burning,Rarely - irritation,Low cost,Salicylic acid|Lactic acid,urea keratolytic emollient ichthyosis dry skin
Coal Tar,"Balnetar,Zetar","Coal Tar 5% shampoo",true,A4-9405,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Antipruritic,Anti-inflammatory and antipruritic,false,false,false,,ongoing,true,none,no,C,false,"Hypersensitivity,Inflamed or broken skin","Photosensitizing agents",,Skin irritation|Photosensitivity|Folliculitis,Carcinogenicity (with prolonged use)|Photosensitivity,Low cost,Corticosteroids|Vitamin D analogs,coal tar psoriasis seborrheic dermatitis antipruritic
Pramoxine,"Tronolane,PrameGel","Pramoxine 1% cream",true,A4-9406,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Topical Anesthetic,Local anesthetic,false,false,false,,7,false,none,no,B,false,"Hypersensitivity","None",,Transient burning|Stinging|Edema,Rarely - contact dermatitis,Low cost,Lidocaine topical|Benzocaine,pramoxine topical anesthetic antipruritic hemorrhoids
Calamine Lotion,"Calamine,Caladryl","Calamine 8%",true,A4-9407,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Antipruritic,Mild astringent and antipruritic,false,false,false,,7,false,none,no,C,false,"Hypersensitivity","None",,Dryness,Rarely - sensitization,Very low cost,Hydrocortisone cream,calamine lotion antipruritic zinc oxide itching rash
Zinc Oxide,"Desitin,Balmex","Zinc Oxide 40% paste",true,A4-9408,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Skin Protectant,Physical barrier and mild astringent,false,false,false,,ongoing,true,none,no,C,false,"Hypersensitivity","None",,Generally well-tolerated,Rarely - contact dermatitis,Very low cost,Petroleum jelly|Lanolin,zinc oxide diaper rash barrier skin protectant
Petrolatum,"Vaseline","White Petrolatum 100%",true,A4-9409,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Emollient,Occlusive moisturizer,false,false,false,,ongoing,true,none,no,C,false,"None significant","None",,Generally well-tolerated,Aspiration pneumonia (if ingested),Very low cost,Mineral oil|Lanolin,petrolatum vaseline emollient moisturizer occlusive
White Soft Paraffin,"Soft Paraffin","White Soft Paraffin 100%",true,A4-9410,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Dermatological,Emollient,Occlusive moisturizer,false,false,false,,ongoing,true,none,no,C,false,"None significant","None",,Generally well-tolerated,Fire hazard with oxygen therapy,Very low cost,Petrolatum,white soft paraffin emollient moisturizer
Liquid Paraffin,"Mineral Oil","Liquid Paraffin",true,A4-9411,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Laxative,Lubricant Laxative,Softens stool by lubrication,false,false,false,,3,false,none,no,C,false,"Hypersensitivity,Intestinal obstruction","Fat-soluble vitamins (impairs absorption)",,Anal leakage|Pruritus ani,Lipoid pneumonia (if aspirated)|Vitamin deficiency,Very low cost,Docusate|Glycerin suppository,liquid paraffin mineral oil laxative lubricant
Glycerin Suppository,"Glycerin,Fleet","Glycerin 2g suppository",true,A4-9412,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Laxative,Osmotic Laxative,Draws water into rectum,false,false,false,,1,false,none,no,C,false,"Hypersensitivity,Intestinal obstruction,Appendicitis","None",,Rectal discomfort|Cramping,Rarely - rectal irritation,Very low cost,Bisacodyl suppository,glycerin suppository laxative osmotic constipation
Docusate,"Colace,Surfak","Docusate Sodium 100mg",true,A4-9413,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Laxative,Stool Softener,Reduces surface tension - allows water penetration,false,false,false,,3,false,none,no,C,false,"Hypersensitivity,Intestinal obstruction,Nausea/vomiting/abdominal pain","Mineral oil (increases absorption)",,Mild cramping|Diarrhea|Throat irritation,Rarely - allergic reactions,Low cost,Liquid paraffin|Lactulose,docusate colace stool softener surfactant constipation
Methylcellulose,"Citrucel","Methylcellulose 500mg",true,A4-9414,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Laxative,Bulk-Forming Laxative,Increases fecal mass,false,false,false,,ongoing,true,none,no,C,false,"Intestinal obstruction,Fecal impaction,Dysphagia","Warfarin (may affect absorption)",,Flatulence|Bloating,Esophageal obstruction (inadequate fluid),Low cost,Psyllium|Ispaghula,methylcellulose citrucel bulk-forming laxative fiber
Psyllium,"Metamucil,Fybogel","Psyllium Husk 3.4g",true,A4-9415,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Laxative,Bulk-Forming Laxative,Absorbs water - increases bulk,false,false,false,,ongoing,true,none,no,C,false,"Intestinal obstruction,Fecal impaction,Difficulty swallowing","Warfarin,Digoxin,Lithium (affects absorption)",,Flatulence|Bloating,Esophageal obstruction|Anaphylaxis (rare),Low cost,Methylcellulose|Ispaghula,psyllium metamucil bulk-forming laxative fiber soluble
Ispaghula,"Fybogel,Regulan","Ispaghula Husk 3.5g",true,A4-9416,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Laxative,Bulk-Forming Laxative,Absorbs water - increases bulk,false,false,false,,ongoing,true,none,no,C,false,"Intestinal obstruction,Fecal impaction,Dysphagia","Warfarin (affects absorption)",,Flatulence|Bloating,Esophageal obstruction|Hypersensitivity,Low cost,Psyllium|Methylcellulose,ispaghula fybogel bulk-forming laxative fiber
Aluminium Hydroxide,"Alu-Cap,ALternaGEL","Aluminium Hydroxide 500mg",true,A4-9417,unscheduled,,not_scheduled,not_controlled,false,false,false,false,1,false,Gastrointestinal,Antacid,Neutralizes gastric acid,true,false,false,Phosphate levels,7,false,none,no,C,false,"Hypersensitivity","Tetracyclines,Quinolones,Iron,Digoxin,Levothyroxine",,Constipation|Chalky taste,Hypophosphatemia|Aluminum toxicity (renal impairment)|Osteomalacia,Very low cost,Magnesium hydroxide|Calcium carbonate,aluminium aluminum hydroxide antacid hypophosphatemia
