generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Cefalexin,"Keflex,Ceporex","Cefalexin 500mg",true,A4-9201,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Antibiotic,Cephalosporin (1st Gen),Inhibits bacterial cell wall synthesis,false,false,false,,7,false,none,no,B,false,"Hypersensitivity to cephalosporins","Probenecid,Metformin",,Diarrhea|Nausea|Dyspepsia|Abdominal pain,C. difficile infection|Anaphylaxis|Stevens-Johnson syndrome|Serum sickness,Low cost,Cefadroxil|Amoxicillin,cefalexin keflex cephalosporin first generation antibiotic
Cefadroxil,"Duricef,Ultracef","Cefadroxil 500mg",true,A4-9202,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Antibiotic,Cephalosporin (1st Gen),Inhibits bacterial cell wall synthesis,false,false,false,,7,false,none,no,B,false,"Hypersensitivity","Probenecid",,Diarrhea|Nausea,C. difficile infection|Anaphylaxis,Low cost,Cefalexin|Amoxicillin,cefadroxil duricef cephalosporin first generation
Cefazolin,"Ancef,Kefzol","Cefazolin 1g",true,A4-9203,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Antibiotic,Cephalosporin (1st Gen),Inhibits bacterial cell wall synthesis,false,false,false,,7,false,none,no,B,false,"Hypersensitivity","Probenecid,Aminoglycosides",,Pain at injection site|Phlebitis,C. difficile infection|Anaphylaxis|Seizures,Low cost,Cefalexin|Cefuroxime,cefazolin ancef cephalosporin surgical prophylaxis parenteral
Cefuroxime,"Zinacef,Ceftin","Cefuroxime 250mg",true,A4-9204,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Antibiotic,Cephalosporin (2nd Gen),Inhibits bacterial cell wall synthesis,false,false,false,,7,false,none,no,B,false,"Hypersensitivity","Probenecid",,Diarrhea|Nausea,C. difficile infection|Anaphylaxis,Moderate cost,Cefixime|Amoxicillin-clavulanate,cefuroxime zinacef cephalosporin second generation
Cefpodoxime,"Vantin,Orelox","Cefpodoxime 200mg",true,A4-9205,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Antibiotic,Cephalosporin (3rd Gen),Inhibits bacterial cell wall synthesis,false,false,false,,7,false,none,no,B,false,"Hypersensitivity","Probenecid",,Diarrhea|Nausea|Abdominal pain,C. difficile infection|Anaphylaxis,Moderate cost,Cefixime|Cefuroxime,cefpodoxime vantin cephalosporin third generation oral
Cefprozil,"Cefzil","Cefprozil 500mg",true,A4-9206,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Antibiotic,Cephalosporin (2nd Gen),Inhibits bacterial cell wall synthesis,false,false,false,,7,false,none,no,B,false,"Hypersensitivity","Probenecid",,Diarrhea|Nausea|Vaginitis,C. difficile infection|Anaphylaxis,Moderate cost,Cefuroxime|Cefixime,cefprozil cefzil cephalosporin second generation
Ceftazidime,"Fortaz,Tazicef","Ceftazidime 1g",true,A4-9207,unscheduled,,not_scheduled,not_controlled,true,false,false,true,3,false,Antibiotic,Cephalosporin (3rd Gen),Inhibits bacterial cell wall synthesis - anti-Pseudomonal,true,false,true,Renal function,7,false,none,no,B,false,"Hypersensitivity","Aminoglycosides,Loop diuretics",,Phlebitis|Diarrhea|Nausea,C. difficile infection|Seizures|Renal failure|Anaphylaxis,Moderate to high cost,Cefepime|Piperacillin-tazobactam,ceftazidime fortaz cephalosporin pseudomonas third generation
Cefotaxime,"Claforan","Cefotaxime 1g",true,A4-9208,unscheduled,,not_scheduled,not_controlled,true,false,false,true,3,false,Antibiotic,Cephalosporin (3rd Gen),Inhibits bacterial cell wall synthesis,false,false,false,,7,false,none,no,B,false,"Hypersensitivity","Probenecid",,Phlebitis|Diarrhea|Nausea,C. difficile infection|Anaphylaxis|Arrhythmias,Moderate cost,Ceftriaxone|Ceftazidime,cefotaxime claforan cephalosporin third generation meningitis
Cefepime,"Maxipime","Cefepime 1g",true,A4-9209,unscheduled,,not_scheduled,not_controlled,true,false,false,true,3,false,Antibiotic,Cephalosporin (4th Gen),Broad-spectrum inhibits bacterial cell wall synthesis,true,false,true,Renal function,7,false,none,no,B,false,"Hypersensitivity","Aminoglycosides",,Phlebitis|Diarrhea|Nausea|Rash,C. difficile infection|Neurotoxicity|Seizures|Encephalopathy|Anaphylaxis,Moderate to high cost,Ceftazidime|Meropenem,cefepime maxipime cephalosporin fourth generation pseudomonas
Piperacillin/Tazobactam,"Zosyn,Tazocin","Piperacillin 4g + Tazobactam 0.5g",true,A4-9210,unscheduled,,not_scheduled,not_controlled,true,false,false,true,3,false,Antibiotic,Penicillin/Beta-lactamase Inhibitor,Broad-spectrum inhibits cell wall + beta-lactamase inhibitor,true,false,true,Renal function CBC,7,false,none,no,B,false,"Hypersensitivity to penicillins","Probenecid,Methotrexate,Vecuronium",,Diarrhea|Nausea|Rash|Phlebitis,C. difficile infection|Anaphylaxis|Stevens-Johnson syndrome|Bleeding|Hypokalemia,Moderate to high cost,Meropenem|Cefepime,piperacillin tazobactam zosyn broad-spectrum pseudomonas
