generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Omeprazole,"Losec,Prilosec,Omezole","Omeprazole 20mg",true,A4-7001,unscheduled,,not_scheduled,not_controlled,true,false,false,false,3,false,Gastrointestinal,Proton Pump Inhibitor,Irreversible inhibition of H+/K+ ATPase in gastric parietal cells,false,false,false,,30,true,none,no,C,false,"Hypersensitivity to PPIs","Clopidogrel (reduced antiplatelet effect),Methotrexate,Warfarin,Digoxin",,Headache|Diarrhea|Nausea|Abdominal pain,Clostridium difficile infection|Hip fracture with long-term use|Hypomagnesemia|Vitamin B12 deficiency|Acute interstitial nephritis,Low-cost generic widely available,Pantoprazole|Esomeprazole|Lansoprazole|Ranitidine|Famotidine,omeprazole ppi proton pump inhibitor heartburn gerd ulcer gastric acid
Pantoprazole,"Controloc,Protonix,Pantoloc","Pantoprazole 40mg",true,A4-7002,unscheduled,,not_scheduled,not_controlled,false,false,false,false,3,false,Gastrointestinal,Proton Pump Inhibitor,Irreversible inhibition of H+/K+ ATPase in gastric parietal cells,false,false,false,,30,true,none,no,C,false,"Hypersensitivity to PPIs","Warfarin,Methotrexate,Atazanavir",,Headache|Diarrhea|Nausea,Similar to omeprazole|C. difficile infection|Bone fractures,Moderate cost,Omeprazole|Esomeprazole|Lansoprazole,pantoprazole ppi proton pump inhibitor gerd ulcer gastric acid
Esomeprazole,"Nexium,Ezomep","Esomeprazole 40mg",true,A4-7003,unscheduled,,not_scheduled,not_controlled,false,false,false,false,3,false,Gastrointestinal,Proton Pump Inhibitor,S-isomer of omeprazole - inhibits gastric acid secretion,false,false,false,,30,true,none,no,C,false,"Hypersensitivity to PPIs,Concurrent rilpivirine","Clopidogrel,Warfarin,Diazepam",,Headache|Diarrhea|Flatulence,C. difficile infection|Hypomagnesemia|Fundic gland polyps,Higher cost brand,Omeprazole|Pantoprazole|Lansoprazole,esomeprazole nexium ppi gerd heartburn reflux
Lansoprazole,"Prevacid,Lanzopral","Lansoprazole 30mg",true,A4-7004,unscheduled,,not_scheduled,not_controlled,false,false,false,false,3,false,Gastrointestinal,Proton Pump Inhibitor,Inhibits gastric H+/K+ ATPase,false,false,false,,30,true,none,no,B,false,"Hypersensitivity to PPIs","Theophylline,Tacrolimus,Warfarin",,Diarrhea|Headache|Nausea,C. difficile infection|Bone fractures|Lupus-like syndrome,Moderate cost,Omeprazole|Pantoprazole|Esomeprazole,lansoprazole ppi proton pump inhibitor gerd ulcer
Rabeprazole,"Pariet,Aciphex","Rabeprazole 20mg",true,A4-7005,unscheduled,,not_scheduled,not_controlled,false,false,false,false,3,false,Gastrointestinal,Proton Pump Inhibitor,Inhibits gastric acid secretion via H+/K+ ATPase,false,false,false,,30,true,none,no,C,false,"Hypersensitivity to PPIs","Methotrexate,Warfarin,Digoxin",,Headache|Diarrhea|Nausea,C. difficile infection|Bone fractures|Hypomagnesemia,Moderate to high cost,Omeprazole|Pantoprazole,rabeprazole ppi proton pump inhibitor gerd
Ranitidine,"Zantac,Rantac","Ranitidine 150mg",true,A4-7006,unscheduled,,not_scheduled,not_controlled,true,false,false,false,2,false,Gastrointestinal,H2 Receptor Antagonist,Competitive inhibition of histamine at H2 receptors,false,false,false,,14,true,none,no,B,false,"Hypersensitivity,Acute porphyria","Warfarin,Ketoconazole",,Headache|Dizziness|Constipation,Rarely - hepatitis|Thrombocytopenia|Confusion in elderly,Low cost generic,Famotidine|Omeprazole|Pantoprazole,ranitidine zantac h2 blocker histamine ulcer gerd
Famotidine,"Pepcid,Famocid","Famotidine 20mg",true,A4-7007,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Gastrointestinal,H2 Receptor Antagonist,Competitive H2 receptor antagonist,false,false,false,,14,true,none,no,B,false,"Hypersensitivity","Ketoconazole,Itraconazole",,Headache|Dizziness|Constipation|Diarrhea,Rarely - QT prolongation|Confusion,Low cost,Ranitidine|Omeprazole,famotidine pepcid h2 blocker histamine gerd ulcer
Metoclopramide,"Reglan,Maxolon,Primperan","Metoclopramide 10mg",true,A4-7008,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Gastrointestinal,Prokinetic/Antiemetic,Dopamine D2 antagonist + 5-HT4 agonist,false,false,false,,7,false,none,no,B,false,"Gastrointestinal hemorrhage,Mechanical obstruction,Perforation,Pheochromocytoma","Antipsychotics,Levodopa,Anticholinergics",true,"Risk of tardive dyskinesia especially with prolonged use over 12 weeks. Risk of neuroleptic malignant syndrome. Increased risk in elderly and diabetics.",Drowsiness|Restlessness|Fatigue|Diarrhea,Tardive dyskinesia|Extrapyramidal symptoms|Neuroleptic malignant syndrome|Depression|Parkinsonism,Low cost generic,Ondansetron|Domperidone|Prochlorperazine,metoclopramide reglan prokinetic antiemetic nausea vomiting gastric emptying
Ondansetron,"Zofran,Emeset","Ondansetron 4mg",true,A4-7009,unscheduled,,not_scheduled,not_controlled,true,false,false,true,3,false,Gastrointestinal,Antiemetic,Selective 5-HT3 receptor antagonist,false,false,false,,3,false,none,no,B,false,"Hypersensitivity,Apomorphine use","Apomorphine,Tramadol,Drugs prolonging QT interval",,Headache|Constipation|Dizziness,QT prolongation|Serotonin syndrome (rare)|Allergic reactions,Moderate cost,Metoclopramide|Domperidone|Granisetron,ondansetron zofran antiemetic serotonin nausea vomiting chemotherapy
Domperidone,"Motilium,Domperi","Domperidone 10mg",true,A4-7010,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Gastrointestinal,Prokinetic/Antiemetic,Peripheral dopamine D2 antagonist,false,false,false,,14,false,none,no,C,false,"Cardiac conditions,Hepatic impairment,QT prolongation,Prolactinoma","Ketoconazole,Erythromycin,QT-prolonging drugs",,Dry mouth|Headache|Abdominal cramps,Cardiac arrhythmias|Sudden cardiac death|Galactorrhea|Gynecomastia,Low cost,Metoclopramide|Ondansetron,domperidone motilium prokinetic antiemetic nausea vomiting
