generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Fluoxetine,"Prozac,Sarafem,Oxactin","Fluoxetine 20mg",true,A4-8001,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Mental Health,Antidepressant (SSRI),Selective serotonin reuptake inhibitor,false,false,false,,180,true,none,no,C,false,"Hypersensitivity,MAOIs within 14 days,Pimozide or thioridazine use","MAOIs,Pimozide,Thioridazine,Tamoxifen,NSAIDs,Anticoagulants",true,"Increased risk of suicidal thinking and behavior in children adolescents and young adults with major depressive disorder and other psychiatric disorders. Monitor closely for worsening and emergence of suicidal thoughts and behaviors.",Nausea|Headache|Insomnia|Drowsiness|Sexual dysfunction|Anxiety,Serotonin syndrome|Bleeding risk|Hyponatremia|Seizures|Mania/hypomania,Low cost generic,Sertraline|Citalopram|Escitalopram|Paroxetine,fluoxetine prozac ssri antidepressant depression anxiety ocd
Sertraline,"Zoloft,Serlift","Sertraline 50mg",true,A4-8002,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Mental Health,Antidepressant (SSRI),Selective serotonin reuptake inhibitor,false,false,false,,180,true,none,no,C,false,"Hypersensitivity,MAOIs within 14 days,Pimozide use,Disulfiram (oral concentrate)","MAOIs,Pimozide,Warfarin,NSAIDs",true,"Increased risk of suicidal thinking and behavior in children adolescents and young adults. Close monitoring required especially early in treatment or when doses are changed.",Nausea|Diarrhea|Dry mouth|Insomnia|Drowsiness|Sexual dysfunction,Serotonin syndrome|Bleeding|Hyponatremia|Seizures|Angle-closure glaucoma,Low cost generic,Fluoxetine|Citalopram|Escitalopram,sertraline zoloft ssri antidepressant depression anxiety ptsd ocd
Paroxetine,"Paxil,Seroxat","Paroxetine 20mg",true,A4-8003,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (SSRI),Selective serotonin reuptake inhibitor,false,false,false,,180,true,none,yes,D,false,"Hypersensitivity,MAOIs within 14 days,Pimozide or thioridazine use,Pregnancy","MAOIs,Pimozide,Thioridazine,Tamoxifen,Warfarin",true,"Increased risk of suicidal thinking and behavior. Pregnancy Category D - increased risk of congenital malformations especially cardiovascular. Neonatal withdrawal syndrome.",Nausea|Drowsiness|Sweating|Sexual dysfunction|Weight gain,Serotonin syndrome|Withdrawal syndrome|Bleeding risk|Congenital malformations,Low cost generic,Fluoxetine|Sertraline|Citalopram,paroxetine paxil ssri antidepressant depression anxiety pregnancy risk
Escitalopram,"Lexapro,Cipralex","Escitalopram 10mg",true,A4-8004,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (SSRI),S-enantiomer of citalopram - selective serotonin reuptake inhibitor,false,false,false,,180,true,none,no,C,false,"Hypersensitivity,MAOIs within 14 days,Pimozide use","MAOIs,Pimozide,QT-prolonging drugs,Anticoagulants",true,"Increased risk of suicidal thinking and behavior in children adolescents and young adults. QT prolongation at higher doses.",Nausea|Insomnia|Fatigue|Sexual dysfunction|Dry mouth,Serotonin syndrome|QT prolongation|Hyponatremia|Bleeding,Moderate cost,Citalopram|Sertraline|Fluoxetine,escitalopram lexapro cipralex ssri antidepressant depression anxiety
Citalopram,"Celexa,Cipramil","Citalopram 20mg",true,A4-8005,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (SSRI),Selective serotonin reuptake inhibitor,true,false,true,ECG for QT interval,180,true,none,no,C,false,"Hypersensitivity,MAOIs within 14 days,Pimozide use,QT prolongation","MAOIs,Pimozide,QT-prolonging drugs,Omeprazole",true,"Increased risk of suicidal thinking and behavior. Dose-dependent QT prolongation - maximum 40mg daily in adults 20mg in elderly and those with hepatic impairment or CYP2C19 poor metabolizers.",Nausea|Dry mouth|Drowsiness|Insomnia|Sexual dysfunction,QT prolongation|Torsades de pointes|Serotonin syndrome|Hyponatremia,Low cost generic,Escitalopram|Sertraline|Fluoxetine,citalopram celexa cipramil ssri antidepressant depression qt prolongation
Venlafaxine,"Effexor,Venlor","Venlafaxine 75mg",true,A4-8006,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (SNRI),Serotonin-norepinephrine reuptake inhibitor,true,false,true,Blood pressure,180,true,none,no,C,false,"Hypersensitivity,MAOIs within 14 days,Uncontrolled hypertension","MAOIs,Linezolid,Methylene blue,Anticoagulants",true,"Increased risk of suicidal thinking and behavior especially in children adolescents and young adults. Monitor blood pressure regularly especially at higher doses.",Nausea|Headache|Drowsiness|Dry mouth|Sweating|Hypertension|Sexual dysfunction,Hypertensive crisis|Serotonin syndrome|Bleeding|Hyponatremia|Seizures|Angle-closure glaucoma,Low to moderate cost,Duloxetine|Desvenlafaxine|Fluoxetine,venlafaxine effexor snri antidepressant depression anxiety hypertension
Duloxetine,"Cymbalta,Duzela","Duloxetine 60mg",true,A4-8007,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (SNRI),Serotonin-norepinephrine reuptake inhibitor,false,false,false,,180,true,none,no,C,false,"Hypersensitivity,MAOIs within 14 days,Uncontrolled narrow-angle glaucoma,Severe hepatic impairment,CrCl <30 mL/min","MAOIs,Thioridazine,CYP1A2 inhibitors,Alcohol",true,"Increased risk of suicidal thoughts and behavior. Hepatotoxicity reported - avoid in liver disease. Severe skin reactions reported.",Nausea|Dry mouth|Drowsiness|Constipation|Decreased appetite|Hyperhidrosis,Hepatotoxicity|Orthostatic hypotension|Serotonin syndrome|Hyponatremia|Severe skin reactions,Moderate to high cost,Venlafaxine|Desvenlafaxine|Milnacipran,duloxetine cymbalta snri antidepressant depression diabetic neuropathy fibromyalgia
Mirtazapine,"Remeron,Mirtaz","Mirtazapine 30mg",true,A4-8008,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (Atypical),Noradrenergic and specific serotonergic antidepressant,false,false,false,,180,true,none,no,C,false,"Hypersensitivity,MAOIs within 14 days","MAOIs,CNS depressants,Alcohol",true,"Increased risk of suicidal thinking and behavior especially in children adolescents and young adults.",Increased appetite|Weight gain|Drowsiness|Dry mouth|Constipation,Agranulocytosis|Serotonin syndrome|Seizures|Hyponatremia|Orthostatic hypotension,Low to moderate cost,Trazodone|Bupropion|Venlafaxine,mirtazapine remeron tetracyclic antidepressant depression insomnia appetite
Trazodone,"Desyrel,Trittico","Trazodone 50mg",true,A4-8009,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (Atypical),Serotonin antagonist and reuptake inhibitor,false,false,false,,180,true,low,no,C,false,"Hypersensitivity,MAOIs within 14 days","MAOIs,CNS depressants,QT-prolonging drugs,CYP3A4 inhibitors",true,"Increased risk of suicidal thinking and behavior. Risk of priapism. QT prolongation and cardiac arrhythmias.",Drowsiness|Dizziness|Dry mouth|Headache|Blurred vision|Nausea,Priapism|Cardiac arrhythmias|Orthostatic hypotension|Serotonin syndrome|Seizures,Low cost generic,Mirtazapine|Amitriptyline (low-dose),trazodone desyrel antidepressant insomnia sedating priapism
Bupropion,"Wellbutrin,Zyban","Bupropion 150mg",true,A4-8010,unscheduled,,not_scheduled,not_controlled,false,false,true,true,3,false,Mental Health,Antidepressant (Atypical),Norepinephrine-dopamine reuptake inhibitor,false,false,false,,180,true,low,no,C,false,"Seizure disorders,Bulimia/anorexia,Abrupt alcohol/benzodiazepine withdrawal,MAOIs within 14 days","MAOIs,Drugs lowering seizure threshold,CYP2D6 substrates",true,"Increased risk of suicidal thinking and behavior. Serious neuropsychiatric events when used for smoking cessation. Dose-dependent seizure risk.",Dry mouth|Insomnia|Headache|Nausea|Agitation|Tremor,Seizures|Hypertension|Neuropsychiatric symptoms|Angle-closure glaucoma|Severe allergic reactions,Moderate cost,Fluoxetine|Venlafaxine|Mirtazapine,bupropion wellbutrin zyban antidepressant ndri smoking cessation seizure risk
Imipramine,"Tofranil,Imipra","Imipramine 25mg",true,A4-8011,unscheduled,,not_scheduled,not_controlled,true,false,true,true,3,false,Mental Health,Antidepressant (TCA),Tricyclic antidepressant - inhibits serotonin and norepinephrine reuptake,true,false,true,ECG,180,true,low,no,D,false,"Hypersensitivity,Acute MI recovery,MAOIs within 14 days,Concurrent use with linezolid","MAOIs,Anticholinergics,Sympathomimetics,SSRIs,QT-prolonging drugs",true,"Increased risk of suicidal thinking and behavior. Cardiac toxicity in overdose. Orthostatic hypotension especially in elderly.",Dry mouth|Constipation|Blurred vision|Drowsiness|Weight gain|Urinary retention,Cardiac arrhythmias|Orthostatic hypotension|Seizures|Serotonin syndrome|Anticholinergic crisis,Low cost generic,Amitriptyline|Nortriptyline|Clomipramine,imipramine tofranil tricyclic tca antidepressant depression enuresis
