generic_name,brand_names,active_ingredients,nafdac_approved,nafdac_registration_number,nafdac_schedule,requires_special_prescription,us_dea_schedule,uk_controlled_drug_class,who_essential_medicine,refrigeration_required,black_box_warning,requires_physician_only,prescribing_level,is_controlled,therapeutic_class,pharmacological_class,mechanism_of_action,requires_monitoring,requires_pregnancy_test,requires_baseline_tests,monitoring_type,typical_treatment_duration_days,long_term_therapy,abuse_potential,teratogenic,pregnancy_category,requires_contraception,major_contraindications,major_interactions,black_box_warning_text,common_side_effects,serious_adverse_effects,cost_considerations,alternative_medications,search_keywords
Tamsulosin,"Flomax,Harnal","Tamsulosin 0.4mg",true,A4-9101,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Urology,Alpha-1 Blocker,Selective alpha-1A adrenergic blocker - relaxes smooth muscle in prostate and bladder neck,false,false,false,,ongoing,true,none,no,B,false,"Hypersensitivity,Severe hepatic impairment","Other alpha-blockers,Phosphodiesterase-5 inhibitors,CYP3A4 or CYP2D6 inhibitors",,Dizziness|Orthostatic hypotension|Retrograde ejaculation|Rhinitis,Intraoperative floppy iris syndrome|Priapism|Syncope,Moderate cost,Alfuzosin|Doxazosin|Finasteride,tamsulosin flomax alpha blocker bph benign prostatic hyperplasia
Alfuzosin,"Uroxatral,Xatral","Alfuzosin 10mg",true,A4-9102,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Urology,Alpha-1 Blocker,Selective alpha-1 adrenergic blocker,true,false,true,ECG if cardiac risk,ongoing,true,none,no,B,false,"Hypersensitivity,Moderate to severe hepatic impairment,QT prolongation,Concurrent potent CYP3A4 inhibitors","CYP3A4 inhibitors,Antihypertensives,Phosphodiesterase-5 inhibitors",,Dizziness|Headache|Fatigue|Orthostatic hypotension,QT prolongation|Syncope|Priapism|Intraoperative floppy iris syndrome,Moderate cost,Tamsulosin|Doxazosin,alfuzosin xatral alpha blocker bph
Dutasteride,"Avodart,Dutas","Dutasteride 0.5mg",true,A4-9103,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Urology,5-alpha Reductase Inhibitor,Inhibits both type 1 and type 2 5-alpha reductase,true,false,true,PSA,ongoing,true,none,yes,X,false,"Pregnancy,Women of childbearing potential,Children,Hypersensitivity","CYP3A4 inhibitors",,Impotence|Decreased libido|Gynecomastia|Ejaculation disorders,High-grade prostate cancer|Breast cancer in men|Serious skin reactions|Persistent sexual dysfunction,Moderate to high cost,Finasteride|Alpha-blockers,dutasteride avodart 5-alpha reductase dht bph prostate
Solifenacin,"Vesicare,Solifen","Solifenacin 5mg",true,A4-9104,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Urology,Antimuscarinic,Competitive muscarinic receptor antagonist,false,false,false,,ongoing,true,none,no,C,false,"Urinary retention,Gastric retention,Uncontrolled narrow-angle glaucoma","Anticholinergics,CYP3A4 inhibitors",,Dry mouth|Constipation|Blurred vision|Dry eyes|Dyspepsia,Urinary retention|Angle-closure glaucoma|QT prolongation,Moderate to high cost,Oxybutynin|Tolterodine|Fesoterodine,solifenacin vesicare antimuscarinic overactive bladder urge incontinence
Oxybutynin,"Ditropan,Oxytrol","Oxybutynin 5mg",true,A4-9105,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Urology,Antimuscarinic,Anticholinergic with direct smooth muscle relaxant effects,false,false,false,,ongoing,true,none,no,B,false,"Urinary retention,Gastric retention,Uncontrolled narrow-angle glaucoma,Myasthenia gravis","Other anticholinergics,CNS depressants,Alcohol",,Dry mouth|Constipation|Drowsiness|Dizziness|Blurred vision,Urinary retention|Heat prostration|Cognitive impairment in elderly|Hallucinations,Low cost,Solifenacin|Tolterodine,oxybutynin ditropan antimuscarinic overactive bladder anticholinergic
Tolterodine,"Detrol,Detrusitol","Tolterodine 4mg",true,A4-9106,unscheduled,,not_scheduled,not_controlled,false,false,false,false,2,false,Urology,Antimuscarinic,Muscarinic receptor antagonist,false,false,false,,ongoing,true,none,no,C,false,"Urinary retention,Gastric retention,Uncontrolled narrow-angle glaucoma","CYP3A4 inhibitors,CYP2D6 inhibitors,Anticholinergics",,Dry mouth|Constipation|Headache|Dyspepsia,Urinary retention|Angle-closure glaucoma|QT prolongation,Moderate cost,Solifenacin|Oxybutynin,tolterodine detrol antimuscarinic overactive bladder
Sildenafil,"Viagra,Revatio","Sildenafil 50mg",true,A4-9107,unscheduled,,not_scheduled,not_controlled,true,false,false,true,3,false,Urology,Phosphodiesterase-5 Inhibitor,Inhibits PDE5 - increases cGMP in corpus cavernosum,false,false,false,,ongoing,true,low,no,B,false,"Concurrent nitrates,Severe cardiovascular disease,Recent stroke/MI,Hypotension,Severe hepatic impairment,Hereditary retinal disorders","Nitrates,Alpha-blockers,CYP3A4 inhibitors,Ritonavir",,Headache|Flushing|Dyspepsia|Nasal congestion|Visual disturbances,Sudden vision loss|Sudden hearing loss|Priapism|Cardiovascular events,Moderate cost,Tadalafil|Vardenafil,sildenafil viagra pde5 inhibitor erectile dysfunction pulmonary hypertension
Tadalafil,"Cialis,Tadacip","Tadalafil 20mg",true,A4-9108,unscheduled,,not_scheduled,not_controlled,false,false,false,true,3,false,Urology,Phosphodiesterase-5 Inhibitor,Selective PDE5 inhibitor,false,false,false,,ongoing,true,low,no,B,false,"Concurrent nitrates,Severe cardiovascular disease,Recent stroke/MI,Hypotension,Hereditary retinal disorders","Nitrates,Alpha-blockers,CYP3A4 inhibitors/inducers",,Headache|Dyspepsia|Back pain|Myalgia|Flushing|Nasal congestion,Sudden vision loss|Sudden hearing loss|Priapism|Cardiovascular events,Moderate to high cost,Sildenafil|Vardenafil,tadalafil cialis pde5 inhibitor erectile dysfunction bph
Erythropoietin,"Eprex,Procrit,Epogen","Erythropoietin 4000 IU",true,A4-9109,unscheduled,,not_scheduled,not_controlled,true,true,true,true,4,false,Hematology,Erythropoiesis-Stimulating Agent,Stimulates red blood cell production,true,false,true,Hemoglobin iron stores BP,ongoing,true,none,no,C,false,"Uncontrolled hypertension,Pure red cell aplasia from EPO,Hypersensitivity","Iron supplements (beneficial),ACE inhibitors",,Hypertension|Headache|Arthralgia|Nausea|Edema|Fever,Stroke|MI|Thromboembolism|Hypertension|Seizures|Pure red cell aplasia|Tumor progression,Very high cost,Darbepoetin|Blood transfusion,erythropoietin epo eprex erythropoiesis-stimulating anemia renal ckd
Filgrastim,"Neupogen,Granix","Filgrastim 300mcg",true,A4-9110,unscheduled,,not_scheduled,not_controlled,false,true,false,true,4,false,Hematology,Granulocyte Colony-Stimulating Factor,Stimulates neutrophil production and function,true,false,true,CBC differential,14,false,none,no,C,false,"Hypersensitivity","Chemotherapy agents (timing important)",,Bone pain|Headache|Fatigue|Nausea,Splenic rupture|ARDS|Sickle cell crisis|Glomerulonephritis|Capillary leak syndrome,Very high cost,Pegfilgrastim|Lenograstim,filgrastim neupogen g-csf neutropenia chemotherapy
